Month,Zone,WaterQuality,Total,Youngs,Adults,Seniors
0,DeepPool,0.9,24,1,11,12
0,Inlet,0.9,24,1,11,12
0,Outlet,0.9,24,1,10,13
0,ReefNorth,0.9,24,1,11,12
0,ReefSouth,0.9,24,1,11,12
12,DeepPool,0.91,22,0,9,13
12,Inlet,0.91,20,0,8,12
12,Outlet,0.91,19,0,7,12
12,ReefNorth,0.91,21,0,9,12
12,ReefSouth,0.91,23,0,8,15
24,DeepPool,0.92,21,0,7,14
24,Inlet,0.92,16,0,5,11
24,Outlet,0.92,17,0,5,12
24,ReefNorth,0.92,19,0,7,12
24,ReefSouth,0.92,20,0,7,13
36,DeepPool,0.92,18,0,4,14
36,Inlet,0.92,16,0,3,13
36,Outlet,0.92,14,0,2,12
36,ReefNorth,0.92,16,0,5,11
36,ReefSouth,0.92,15,0,3,12
48,DeepPool,0.92,14,0,1,13
48,Inlet,0.92,16,0,2,14
48,Outlet,0.92,12,0,1,11
48,ReefNorth,0.92,14,0,2,12
48,ReefSouth,0.92,12,0,0,12
60,DeepPool,0.93,14,0,0,14
60,Inlet,0.93,11,0,0,11
60,Outlet,0.93,8,0,0,8
60,ReefNorth,0.93,10,0,0,10
60,ReefSouth,0.93,9,0,0,9
72,DeepPool,0.93,13,0,0,13
72,Inlet,0.93,8,0,0,8
72,Outlet,0.93,6,0,0,6
72,ReefNorth,0.93,8,0,0,8
72,ReefSouth,0.93,6,0,0,6
84,DeepPool,0.93,11,0,0,11
84,Inlet,0.93,8,0,0,8
84,Outlet,0.93,6,0,0,6
84,ReefNorth,0.93,8,0,0,8
84,ReefSouth,0.93,5,0,0,5
96,DeepPool,0.93,9,0,0,9
96,Inlet,0.93,8,0,0,8
96,Outlet,0.93,5,0,0,5
96,ReefNorth,0.93,7,0,0,7
96,ReefSouth,0.93,5,0,0,5
108,DeepPool,0.93,5,0,0,5
108,Inlet,0.93,8,0,0,8
108,Outlet,0.93,5,0,0,5
108,ReefNorth,0.93,6,0,0,6
108,ReefSouth,0.93,3,0,0,3
120,DeepPool,0.93,4,0,0,4
120,Inlet,0.93,8,0,0,8
120,Outlet,0.93,4,0,0,4
120,ReefNorth,0.93,5,0,0,5
120,ReefSouth,0.93,3,0,0,3
132,DeepPool,0.93,3,0,0,3
132,Inlet,0.93,8,0,0,8
132,Outlet,0.93,4,0,0,4
132,ReefNorth,0.93,5,0,0,5
132,ReefSouth,0.93,3,0,0,3
144,DeepPool,0.93,2,0,0,2
144,Inlet,0.93,5,0,0,5
144,Outlet,0.93,4,0,0,4
144,ReefNorth,0.93,5,0,0,5
144,ReefSouth,0.93,3,0,0,3
